,survived,pclass,age,sibsp,parch,fare,alone,sex_male,embarked_Q,embarked_S
565,0,3,24.0,2,0,24.15,False,1.0,0.0,1.0
160,0,3,44.0,0,1,16.1,False,1.0,0.0,1.0
553,1,3,22.0,0,0,7.225,True,1.0,0.0,0.0
860,0,3,41.0,2,0,14.1083,False,1.0,0.0,1.0
241,1,3,28.0,1,0,15.5,False,0.0,1.0,0.0
559,1,3,36.0,1,0,17.4,False,0.0,0.0,1.0
387,1,2,36.0,0,0,13.0,True,0.0,0.0,1.0
536,0,1,45.0,0,0,26.55,True,1.0,0.0,1.0
698,0,1,49.0,1,1,110.8833,False,1.0,0.0,0.0
99,0,2,34.0,1,0,26.0,False,1.0,0.0,1.0
126,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
333,0,3,16.0,2,0,18.0,False,1.0,0.0,1.0
216,1,3,27.0,0,0,7.925,True,0.0,0.0,1.0
817,0,2,31.0,1,1,37.0042,False,1.0,0.0,0.0
27,0,1,19.0,3,2,263.0,False,1.0,0.0,1.0
703,0,3,25.0,0,0,7.7417,True,1.0,1.0,0.0
485,0,3,28.0,3,1,25.4667,False,0.0,0.0,1.0
511,0,3,28.0,0,0,8.05,True,1.0,0.0,1.0
433,0,3,17.0,0,0,7.125,True,1.0,0.0,1.0
576,1,2,34.0,0,0,13.0,True,0.0,0.0,1.0
87,0,3,28.0,0,0,8.05,True,1.0,0.0,1.0
580,1,2,25.0,1,1,30.0,False,0.0,0.0,1.0
157,0,3,30.0,0,0,8.05,True,1.0,0.0,1.0
279,1,3,35.0,1,1,20.25,False,0.0,0.0,1.0
422,0,3,29.0,0,0,7.875,True,1.0,0.0,1.0
369,1,1,24.0,0,0,69.3,True,0.0,0.0,0.0
776,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
712,1,1,48.0,1,0,52.0,False,1.0,0.0,1.0
455,1,3,29.0,0,0,7.8958,True,1.0,0.0,0.0
495,0,3,28.0,0,0,14.4583,True,1.0,0.0,0.0
758,0,3,34.0,0,0,8.05,True,1.0,0.0,1.0
730,1,1,29.0,0,0,211.3375,True,0.0,0.0,1.0
65,1,3,28.0,1,1,15.2458,False,1.0,0.0,0.0
75,0,3,25.0,0,0,7.65,True,1.0,0.0,1.0
489,1,3,9.0,1,1,15.9,False,1.0,0.0,1.0
869,1,3,4.0,1,1,11.1333,False,1.0,0.0,1.0
165,1,3,9.0,0,2,20.525,False,1.0,0.0,1.0
71,0,3,16.0,5,2,46.9,False,0.0,0.0,1.0
428,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
417,1,2,18.0,0,2,13.0,False,0.0,0.0,1.0
745,0,1,70.0,1,1,71.0,False,1.0,0.0,1.0
297,0,1,2.0,1,2,151.55,False,0.0,0.0,1.0
463,0,2,48.0,0,0,13.0,True,1.0,0.0,1.0
84,1,2,17.0,0,0,10.5,True,0.0,0.0,1.0
211,1,2,35.0,0,0,21.0,True,0.0,0.0,1.0
115,0,3,21.0,0,0,7.925,True,1.0,0.0,1.0
868,0,3,28.0,0,0,9.5,True,1.0,0.0,1.0
40,0,3,40.0,1,0,9.475,False,0.0,0.0,1.0
644,1,3,0.75,2,1,19.2583,False,0.0,0.0,0.0
322,1,2,30.0,0,0,12.35,True,0.0,1.0,0.0
759,1,1,33.0,0,0,86.5,True,0.0,0.0,1.0
564,0,3,28.0,0,0,8.05,True,0.0,0.0,1.0
502,0,3,28.0,0,0,7.6292,True,0.0,1.0,0.0
17,1,2,28.0,0,0,13.0,True,1.0,0.0,1.0
